FECHA,positivos,nue_posi,muj_posi,hom_posi,extranj_posi,costar_posi,investig_posi,adul_posi,am_posi,menor_posi,edmin_posi,edmax_posi,promedio_posi,descartados,nue_descar,fallecidos,nue_falleci,muj_fall,hom_fall,remin_fall,remax_fall,promedio_fall,adul_fall,am_fall,menor_fall,hospital,nue_hospi,salon,nue_salon,UCI,nue_UCI,remin_UCI,remax_UC,promedio_UCI,RECUPERADOS,NUE_RECUP,MUJ_RECUP,HOM_RECUP,ADUL_RECUP,AM_RECUP,MENOR_RECUP,PROMEDIO_RECUP,EDMIN_RECUP,EDMAX_RECUP,Muestras,MUEST_NEW,DIA_COVID19,afec_posi,afec_recu,afec_fall,activos,letalidad,por_recup,por_activ,transpor
03/06/2020,2,2,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,0,,,,2,0,0,100,
03/07/2020,7,5,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,1,,,,7,0,0,100,
03/08/2020,10,3,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,2,,,,10,0,0,100,
03/09/2020,12,2,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,3,,,,12,0,0,100,
03/10/2020,13,1,7,6,3,10,0,9,2,2,,,,,,0,0,0,0,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,4,,,,13,0,0,100,
03/11/2020,22,9,14,8,3,19,0,18,2,2,,,,118,,0,0,0,0,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,5,,,,22,0,0,100,
03/12/2020,23,1,14,9,3,20,0,19,2,2,,,,206,88,0,0,0,0,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,6,,,,23,0,0,100,
03/13/2020,26,3,14,12,3,23,0,21,3,2,,,,289,83,0,0,0,0,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,7,,,,26,0,0,100,
03/14/2020,27,1,15,12,4,23,0,22,3,2,,,,415,126,0,0,0,0,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,8,,,,27,0,0,100,
03/15/2020,35,8,19,16,5,30,0,28,3,4,,,,450,35,0,0,0,0,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,9,16,,,35,0,0,100,
